PHARE DE L'ÎLE DE LANGARA: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
2011,6.75,6.4,6.33,7.27,8.43,9.24,10.62,12.04,12.37,10.32,8.1,7.34
2012,6.48,6.46,6.43,7.5,8.14,9.57,10.55,11.25,11.68,10.57,9.46,7.38
2013,7,6.98,6.46,6.9,7.67,9.12,10.8,11.65,12.9,11.2,8.86,7.67
2014,7.75,5.97,5.88,7,8.6,9.84,11.58,13.52,12.79,12.62,9.83,8.88
2015,8.55,8.4,8.58,8.67,9.28,10.71,12.02,12.46,12.32,11.15,9.41,8.39
2016,7.96,8.17,8.21,8.69,9.34,10.47,11.6,11.2,11.81,11.25,10.19,999.99
2017,999.99,6.63,6.24,7.58,8.62,10.07,11.69,12.14,12.69,11.05,8.64,7.58
2018,7.21,6.91,999.99,999.99,999.99,999.99,999.99,999.99,11.57,11.28,10.43,8.69
2019,7.66,6.8,6.99,7.75,8.21,10.03,11.34,11.52,11.86,10.28,9.77,8.45
2020,6.98,6.75,6.37,6.98,8.73,10.22,11.27,13.24,12.17,11.44,8.99,8.09
2021,7.35,6.53,6.35,999.99,8.34,10.32,11.25,12.34,12.69,10.15,8.6,7.09
2022,6.5,6.61,6.53,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
